title,year,directors,rank_change
Indiana Jones and the Last Crusade,1989,['Steven Spielberg'],no change
Metropolis,1927,['Fritz Lang'],no change
Snatch,2000,['Guy Ritchie'],no change
1917,2019,['Sam Mendes'],no change
L.A. Confidential,1997,['Curtis Hanson'],no change
Bicycle Thieves,1948,['Vittorio De Sica'],no change
Downfall,2004,['Oliver Hirschbiegel'],no change
Taxi Driver,1976,['Martin Scorsese'],no change
Dangal,2016,['Nitesh Tiwari'],no change
Hamilton,2020,['Thomas Kail'],no change
The Wolf of Wall Street,2013,['Martin Scorsese'],no change
Batman Begins,2005,['Christopher Nolan'],no change
For a Few Dollars More,1965,['Sergio Leone'],no change
Green Book,2018,['Peter Farrelly'],no change
Some Like It Hot,1959,['Billy Wilder'],no change
The Truman Show,1998,['Peter Weir'],no change
Judgment at Nuremberg,1961,['Stanley Kramer'],no change
The Kid,1921,['Charles Chaplin'],no change
The Father,2020,['Florian Zeller'],no change
Shutter Island,2010,['Martin Scorsese'],no change
All About Eve,1950,['Joseph L. Mankiewicz'],no change
There Will Be Blood,2007,['Paul Thomas Anderson'],no change
Jurassic Park,1993,['Steven Spielberg'],no change
Casino,1995,['Martin Scorsese'],no change
Top Gun: Maverick,2022,['Joseph Kosinski'],no change
The Sixth Sense,1999,['M. Night Shyamalan'],no change
Ran,1985,['Akira Kurosawa'],no change
No Country for Old Men,2007,"['Ethan Coen', 'Joel Coen']",no change
Pan's Labyrinth,2006,['Guillermo del Toro'],no change
Unforgiven,1992,['Clint Eastwood'],no change
The Thing,1982,['John Carpenter'],no change
A Beautiful Mind,2001,['Ron Howard'],no change
Kill Bill: Vol. 1,2003,['Quentin Tarantino'],no change
The Treasure of the Sierra Madre,1948,['John Huston'],no change
Yojimbo,1961,['Akira Kurosawa'],no change
Prisoners,2013,['Denis Villeneuve'],no change
The Wild Robot,2024,['Chris Sanders'],no change
Finding Nemo,2003,"['Andrew Stanton', 'Lee Unkrich']",no change
The Great Escape,1963,['John Sturges'],no change
Monty Python and the Holy Grail,1975,"['Terry Gilliam', 'Terry Jones']",no change
Howl's Moving Castle,2004,['Hayao Miyazaki'],no change
The Elephant Man,1980,['David Lynch'],no change
Rashomon,1950,['Akira Kurosawa'],no change
Dial M for Murder,1954,['Alfred Hitchcock'],no change
Gone with the Wind,1939,"['Victor Fleming', 'George Cukor', 'Sam Wood']",no change
Chinatown,1974,['Roman Polanski'],no change
The Secret in Their Eyes,2009,['Juan José Campanella'],no change
"Lock, Stock and Two Smoking Barrels",1998,['Guy Ritchie'],no change
Inside Out,2015,"['Pete Docter', 'Ronnie Del Carmen']",no change
V for Vendetta,2005,['James McTeigue'],no change
"Three Billboards Outside Ebbing, Missouri",2017,['Martin McDonagh'],no change
Klaus,2019,"['Sergio Pablos', 'Carlos Martínez López']",no change
Raging Bull,1980,['Martin Scorsese'],no change
Trainspotting,1996,['Danny Boyle'],no change
The Bridge on the River Kwai,1957,['David Lean'],no change
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,['Haruo Sotozaki'],no change
Catch Me If You Can,2002,['Steven Spielberg'],no change
Fargo,1996,"['Joel Coen', 'Ethan Coen']",no change
Warrior,2011,"[""Gavin O'Connor""]",no change
Spider-Man: No Way Home,2021,['Jon Watts'],no change
Gran Torino,2008,['Clint Eastwood'],no change
Harry Potter and the Deathly Hallows: Part 2,2011,['David Yates'],no change
Million Dollar Baby,2004,['Clint Eastwood'],no change
My Neighbor Totoro,1988,['Hayao Miyazaki'],no change
Mad Max: Fury Road,2015,['George Miller'],no change
Ben-Hur,1959,['William Wyler'],no change
Children of Heaven,1997,['Majid Majidi'],no change
Barry Lyndon,1975,['Stanley Kubrick'],no change
12 Years a Slave,2013,['Steve McQueen'],no change
Blade Runner,1982,['Ridley Scott'],no change
Before Sunrise,1995,['Richard Linklater'],no change
The Grand Budapest Hotel,2014,['Wes Anderson'],no change
Hacksaw Ridge,2016,['Mel Gibson'],no change
Dead Poets Society,1989,['Peter Weir'],no change
Gone Girl,2014,['David Fincher'],no change
Memories of Murder,2003,['Bong Joon Ho'],no change
In the Name of the Father,1993,['Jim Sheridan'],no change
The Gold Rush,1925,['Charles Chaplin'],no change
Maharaja,2024,['Nithilan Saminathan'],no change
"Monsters, Inc.",2001,"['Pete Docter', 'David Silverman', 'Lee Unkrich']",no change
Wild Tales,2014,['Damián Szifron'],no change
Ratatouille,2007,"['Brad Bird', 'Jan Pinkava']",no change
How to Train Your Dragon,2010,"['Dean DeBlois', 'Chris Sanders']",no change
The Deer Hunter,1978,['Michael Cimino'],no change
Jaws,1975,['Steven Spielberg'],no change
The General,1926,"['Clyde Bruckman', 'Buster Keaton']",up
Sherlock Jr.,1924,['Buster Keaton'],down
Mary and Max,2009,['Adam Elliot'],no change
On the Waterfront,1954,['Elia Kazan'],no change
The Wages of Fear,1953,['Henri-Georges Clouzot'],no change
Ford v Ferrari,2019,['James Mangold'],no change
Mr. Smith Goes to Washington,1939,['Frank Capra'],no change
Wild Strawberries,1957,['Ingmar Bergman'],no change
The Third Man,1949,['Carol Reed'],no change
Logan,2017,['James Mangold'],no change
Rocky,1976,['John G. Avildsen'],no change
Tokyo Story,1953,['Yasujirô Ozu'],no change
The Big Lebowski,1998,"['Joel Coen', 'Ethan Coen']",no change
The Seventh Seal,1957,['Ingmar Bergman'],no change
Spotlight,2015,['Tom McCarthy'],no change
Room,2015,['Lenny Abrahamson'],no change
The Terminator,1984,['James Cameron'],no change
Hotel Rwanda,2004,['Terry George'],no change
Platoon,1986,['Oliver Stone'],no change
Pirates of the Caribbean: The Curse of the Black Pearl,2003,['Gore Verbinski'],no change
La haine,1995,['Mathieu Kassovitz'],no change
Before Sunset,2004,['Richard Linklater'],no change
Jai Bhim,2021,['T.J. Gnanavel'],no change
The Best Years of Our Lives,1946,['William Wyler'],no change
The Passion of Joan of Arc,1928,['Carl Theodor Dreyer'],no change
The Exorcist,1973,['William Friedkin'],no change
The Wizard of Oz,1939,"['Victor Fleming', 'King Vidor']",no change
The Incredibles,2004,['Brad Bird'],no change
Rush,2013,['Ron Howard'],no change
